UNKNOWN
version=1
nRows=5001
nColumns=6
inDegrees=no
endheader
time	Coordinates(Deg.)	soleus_l	soleus_r	tib_ant_l	tib_ant_r
    267.00000000	     40.53200000	      0.02703335	      0.03677089	      0.09024299	      0.07807792
    268.00000000	     40.53400000	      0.02668835	      0.03658156	      0.09072597	      0.07830299
    269.00000000	     40.53600000	      0.02635066	      0.03641499	      0.09120657	      0.07850114
    270.00000000	     40.53800000	      0.02602223	      0.03627291	      0.09168237	      0.07867026
    271.00000000	     40.54000000	      0.02570493	      0.03615659	      0.09215089	      0.07880879
    272.00000000	     40.54200000	      0.02540056	      0.03606687	      0.09260955	      0.07891568
    273.00000000	     40.54400000	      0.02511077	      0.03600414	      0.09305572	      0.07899044
    274.00000000	     40.54600000	      0.02483704	      0.03596841	      0.09348679	      0.07903305
    275.00000000	     40.54800000	      0.02458065	      0.03595927	      0.09390014	      0.07904394
    276.00000000	     40.55000000	      0.02434264	      0.03597597	      0.09429322	      0.07902403
    277.00000000	     40.55200000	      0.02412385	      0.03601742	      0.09466355	      0.07897462
    278.00000000	     40.55400000	      0.02392485	      0.03608232	      0.09500880	      0.07889728
    279.00000000	     40.55600000	      0.02374641	      0.03616902	      0.09532675	      0.07879399
    280.00000000	     40.55800000	      0.02358906	      0.03627573	      0.09561537	      0.07866691
    281.00000000	     40.56000000	      0.02345245	      0.03640054	      0.09587281	      0.07851834
    282.00000000	     40.56200000	      0.02333616	      0.03654141	      0.09609750	      0.07835074
    283.00000000	     40.56400000	      0.02323969	      0.03669627	      0.09628810	      0.07816661
    284.00000000	     40.56600000	      0.02316252	      0.03686303	      0.09644356	      0.07796844
    285.00000000	     40.56800000	      0.02310409	      0.03703963	      0.09656313	      0.07775869
    286.00000000	     40.57000000	      0.02306392	      0.03722408	      0.09664632	      0.07753976
    287.00000000	     40.57200000	      0.02304152	      0.03741449	      0.09669306	      0.07731387
    288.00000000	     40.57400000	      0.02303650	      0.03760909	      0.09670357	      0.07708314
    289.00000000	     40.57600000	      0.02304856	      0.03780620	      0.09667834	      0.07684956
    290.00000000	     40.57800000	      0.02307742	      0.03800444	      0.09661826	      0.07661474
    291.00000000	     40.58000000	      0.02312290	      0.03820255	      0.09652447	      0.07638019
    292.00000000	     40.58200000	      0.02318480	      0.03839945	      0.09639839	      0.07614717
    293.00000000	     40.58400000	      0.02326302	      0.03859420	      0.09624164	      0.07591678
    294.00000000	     40.58600000	      0.02335739	      0.03878608	      0.09605608	      0.07568987
    295.00000000	     40.58800000	      0.02346769	      0.03897449	      0.09584376	      0.07546712
    296.00000000	     40.59000000	      0.02359364	      0.03915902	      0.09560685	      0.07524903
    297.00000000	     40.59200000	      0.02373486	      0.03933938	      0.09534766	      0.07503591
    298.00000000	     40.59400000	      0.02389092	      0.03951541	      0.09506854	      0.07482795
    299.00000000	     40.59600000	      0.02406091	      0.03968704	      0.09477185	      0.07462524
    300.00000000	     40.59800000	      0.02424348	      0.03985430	      0.09445993	      0.07442772
    301.00000000	     40.60000000	      0.02443771	      0.04001727	      0.09413505	      0.07423530
    302.00000000	     40.60200000	      0.02464261	      0.04017610	      0.09379933	      0.07404778
    303.00000000	     40.60400000	      0.02485712	      0.04033096	      0.09345483	      0.07386496
    304.00000000	     40.60600000	      0.02508016	      0.04048206	      0.09310344	      0.07368661
    305.00000000	     40.60800000	      0.02531071	      0.04062960	      0.09274684	      0.07351247
    306.00000000	     40.61000000	      0.02554777	      0.04077378	      0.09238651	      0.07334231
    307.00000000	     40.61200000	      0.02579044	      0.04091477	      0.09202370	      0.07317591
    308.00000000	     40.61400000	      0.02603789	      0.04105276	      0.09165948	      0.07301308
    309.00000000	     40.61600000	      0.02628936	      0.04118788	      0.09129471	      0.07285362
    310.00000000	     40.61800000	      0.02654422	      0.04132021	      0.09093009	      0.07269746
    311.00000000	     40.62000000	      0.02680193	      0.04144984	      0.09056611	      0.07254448
    312.00000000	     40.62200000	      0.02706211	      0.04157679	      0.09020308	      0.07239468
    313.00000000	     40.62400000	      0.02732441	      0.04170106	      0.08984120	      0.07224803
    314.00000000	     40.62600000	      0.02758861	      0.04182262	      0.08948053	      0.07210458
    315.00000000	     40.62800000	      0.02785466	      0.04194139	      0.08912094	      0.07196441
    316.00000000	     40.63000000	      0.02812231	      0.04205732	      0.08876253	      0.07182758
    317.00000000	     40.63200000	      0.02839166	      0.04217025	      0.08840497	      0.07169430
    318.00000000	     40.63400000	      0.02866269	      0.04228007	      0.08804811	      0.07156468
    319.00000000	     40.63600000	      0.02893548	      0.04238657	      0.08769169	      0.07143898
    320.00000000	     40.63800000	      0.02921002	      0.04248964	      0.08733555	      0.07131732
