UNKNOWN
version=1
nRows=5001
nColumns=5
inDegrees=no
endheader
time	Coordinates(Deg.)	med_gas_l	soleus_l	tib_ant_l
   1382.00000000	     42.76200000	      0.05246674	      0.02904956	      0.08754339
   1383.00000000	     42.76400000	      0.05220734	      0.02895115	      0.08767129
   1384.00000000	     42.76600000	      0.05196782	      0.02886666	      0.08778136
   1385.00000000	     42.76800000	      0.05174949	      0.02879699	      0.08787231
   1386.00000000	     42.77000000	      0.05155337	      0.02874293	      0.08794299
   1387.00000000	     42.77200000	      0.05138051	      0.02870525	      0.08799233
   1388.00000000	     42.77400000	      0.05123169	      0.02868456	      0.08801944
   1389.00000000	     42.77600000	      0.05110765	      0.02868142	      0.08802356
   1390.00000000	     42.77800000	      0.05100888	      0.02869623	      0.08800415
   1391.00000000	     42.78000000	      0.05093557	      0.02872926	      0.08796089
   1392.00000000	     42.78200000	      0.05088796	      0.02878068	      0.08789363
   1393.00000000	     42.78400000	      0.05086584	      0.02885047	      0.08780248
   1394.00000000	     42.78600000	      0.05086889	      0.02893848	      0.08768779
   1395.00000000	     42.78800000	      0.05089652	      0.02904438	      0.08755012
   1396.00000000	     42.79000000	      0.05094794	      0.02916769	      0.08739029
   1397.00000000	     42.79200000	      0.05102215	      0.02930777	      0.08720933
   1398.00000000	     42.79400000	      0.05111782	      0.02946377	      0.08700851
   1399.00000000	     42.79600000	      0.05123363	      0.02963475	      0.08678923
   1400.00000000	     42.79800000	      0.05136794	      0.02981956	      0.08655314
   1401.00000000	     42.80000000	      0.05151907	      0.03001696	      0.08630200
   1402.00000000	     42.80200000	      0.05168518	      0.03022555	      0.08603769
   1403.00000000	     42.80400000	      0.05186441	      0.03044385	      0.08576220
   1404.00000000	     42.80600000	      0.05205483	      0.03067032	      0.08547755
   1405.00000000	     42.80800000	      0.05225429	      0.03090326	      0.08518591
   1406.00000000	     42.81000000	      0.05246103	      0.03114111	      0.08488928
   1407.00000000	     42.81200000	      0.05267307	      0.03138217	      0.08458973
   1408.00000000	     42.81400000	      0.05288851	      0.03162481	      0.08428927
   1409.00000000	     42.81600000	      0.05310566	      0.03186747	      0.08398978
   1410.00000000	     42.81800000	      0.05332273	      0.03210858	      0.08369313
   1411.00000000	     42.82000000	      0.05353824	      0.03234674	      0.08340096
   1412.00000000	     42.82200000	      0.05375077	      0.03258062	      0.08311481
   1413.00000000	     42.82400000	      0.05395903	      0.03280902	      0.08283607
   1414.00000000	     42.82600000	      0.05416195	      0.03303088	      0.08256593
   1415.00000000	     42.82800000	      0.05435869	      0.03324534	      0.08230535
   1416.00000000	     42.83000000	      0.05454844	      0.03345162	      0.08205519
   1417.00000000	     42.83200000	      0.05473076	      0.03364919	      0.08181603
   1418.00000000	     42.83400000	      0.05490521	      0.03383760	      0.08158831
   1419.00000000	     42.83600000	      0.05507152	      0.03401656	      0.08137232
   1420.00000000	     42.83800000	      0.05522978	      0.03418602	      0.08116808
   1421.00000000	     42.84000000	      0.05538001	      0.03434597	      0.08097553
   1422.00000000	     42.84200000	      0.05552251	      0.03449659	      0.08079441
   1423.00000000	     42.84400000	      0.05565773	      0.03463819	      0.08062429
   1424.00000000	     42.84600000	      0.05578608	      0.03477113	      0.08046472
   1425.00000000	     42.84800000	      0.05590805	      0.03489588	      0.08031511
   1426.00000000	     42.85000000	      0.05602427	      0.03501298	      0.08017477
   1427.00000000	     42.85200000	      0.05613549	      0.03512305	      0.08004294
   1428.00000000	     42.85400000	      0.05624249	      0.03522678	      0.07991878
   1429.00000000	     42.85600000	      0.05634597	      0.03532482	      0.07980150
   1430.00000000	     42.85800000	      0.05644675	      0.03541789	      0.07969022
   1431.00000000	     42.86000000	      0.05654556	      0.03550667	      0.07958411
   1432.00000000	     42.86200000	      0.05664326	      0.03559190	      0.07948231
   1433.00000000	     42.86400000	      0.05674060	      0.03567423	      0.07938400
   1434.00000000	     42.86600000	      0.05683828	      0.03575429	      0.07928844
   1435.00000000	     42.86800000	      0.05693628	      0.03583248	      0.07919515
   1436.00000000	     42.87000000	      0.05703605	      0.03590957	      0.07910320
   1437.00000000	     42.87200000	      0.05713806	      0.03598603	      0.07901204
   1438.00000000	     42.87400000	      0.05724286	      0.03606228	      0.07892115
   1439.00000000	     42.87600000	      0.05735085	      0.03613868	      0.07883013
   1440.00000000	     42.87800000	      0.05746239	      0.03621550	      0.07873862
   1441.00000000	     42.88000000	      0.05757766	      0.03629293	      0.07864643
   1442.00000000	     42.88200000	      0.05769684	      0.03637111	      0.07855336
   1443.00000000	     42.88400000	      0.05782086	      0.03645037	      0.07845904
   1444.00000000	     42.88600000	      0.05794813	      0.03653026	      0.07836401
   1445.00000000	     42.88800000	      0.05807951	      0.03661101	      0.07826798
   1446.00000000	     42.89000000	      0.05821498	      0.03669258	      0.07817099
   1447.00000000	     42.89200000	      0.05835438	      0.03677487	      0.07807319
   1448.00000000	     42.89400000	      0.05849765	      0.03685777	      0.07797469
   1449.00000000	     42.89600000	      0.05864455	      0.03694115	      0.07787564
   1450.00000000	     42.89800000	      0.05879490	      0.03702487	      0.07777622
   1451.00000000	     42.90000000	      0.05894857	      0.03710882	      0.07767656
   1452.00000000	     42.90200000	      0.05910555	      0.03719292	      0.07757673
   1453.00000000	     42.90400000	      0.05926533	      0.03727695	      0.07747702
   1454.00000000	     42.90600000	      0.05942813	      0.03736092	      0.07737741
   1455.00000000	     42.90800000	      0.05959385	      0.03744476	      0.07727797
   1456.00000000	     42.91000000	      0.05976241	      0.03752840	      0.07717880
   1457.00000000	     42.91200000	      0.05993378	      0.03761180	      0.07707992
   1458.00000000	     42.91400000	      0.06010791	      0.03769494	      0.07698139
   1459.00000000	     42.91600000	      0.06028463	      0.03777774	      0.07688327
   1460.00000000	     42.91800000	      0.06046393	      0.03786020	      0.07678558
   1461.00000000	     42.92000000	      0.06064589	      0.03794234	      0.07668829
   1462.00000000	     42.92200000	      0.06083053	      0.03802415	      0.07659140
   1463.00000000	     42.92400000	      0.06101774	      0.03810561	      0.07649495
   1464.00000000	     42.92600000	      0.06120744	      0.03818666	      0.07639900
   1465.00000000	     42.92800000	      0.06139958	      0.03826729	      0.07630356
   1466.00000000	     42.93000000	      0.06159430	      0.03834751	      0.07620862
   1467.00000000	     42.93200000	      0.06179136	      0.03842721	      0.07611432
   1468.00000000	     42.93400000	      0.06199072	      0.03850632	      0.07602073
   1469.00000000	     42.93600000	      0.06219223	      0.03858472	      0.07592800
   1470.00000000	     42.93800000	      0.06239598	      0.03866235	      0.07583617
   1471.00000000	     42.94000000	      0.06260163	      0.03873904	      0.07574549
   1472.00000000	     42.94200000	      0.06280906	      0.03881461	      0.07565613
   1473.00000000	     42.94400000	      0.06301807	      0.03888890	      0.07556830
   1474.00000000	     42.94600000	      0.06322829	      0.03896166	      0.07548228
   1475.00000000	     42.94800000	      0.06343954	      0.03903270	      0.07539832
   1476.00000000	     42.95000000	      0.06365160	      0.03910180	      0.07531665
   1477.00000000	     42.95200000	      0.06386408	      0.03916870	      0.07523759
   1478.00000000	     42.95400000	      0.06407704	      0.03923324	      0.07516132
   1479.00000000	     42.95600000	      0.06428971	      0.03929503	      0.07508831
   1480.00000000	     42.95800000	      0.06450200	      0.03935388	      0.07501877
   1481.00000000	     42.96000000	      0.06471366	      0.03940959	      0.07495296
   1482.00000000	     42.96200000	      0.06492412	      0.03946182	      0.07489126
   1483.00000000	     42.96400000	      0.06513326	      0.03951040	      0.07483387
   1484.00000000	     42.96600000	      0.06534090	      0.03955515	      0.07478102
   1485.00000000	     42.96800000	      0.06554653	      0.03959582	      0.07473298
   1486.00000000	     42.97000000	      0.06574984	      0.03963222	      0.07468998
   1487.00000000	     42.97200000	      0.06595086	      0.03966428	      0.07465212
   1488.00000000	     42.97400000	      0.06614927	      0.03969185	      0.07461956
   1489.00000000	     42.97600000	      0.06634490	      0.03971486	      0.07459238
   1490.00000000	     42.97800000	      0.06653756	      0.03973326	      0.07457065
   1491.00000000	     42.98000000	      0.06672699	      0.03974700	      0.07455443
   1492.00000000	     42.98200000	      0.06691309	      0.03975610	      0.07454369
   1493.00000000	     42.98400000	      0.06709592	      0.03976065	      0.07453831
   1494.00000000	     42.98600000	      0.06727543	      0.03976077	      0.07453816
   1495.00000000	     42.98800000	      0.06774955	      0.03975662	      0.07454307
   1496.00000000	     42.99000000	      0.06792559	      0.03974836	      0.07455282
   1497.00000000	     42.99200000	      0.06810040	      0.03973625	      0.07456712
   1498.00000000	     42.99400000	      0.06827412	      0.03972053	      0.07458568
   1499.00000000	     42.99600000	      0.06844726	      0.03970158	      0.07460807
   1500.00000000	     42.99800000	      0.06861973	      0.03967965	      0.07463397
   1501.00000000	     43.00000000	      0.06879180	      0.03965512	      0.07466294
   1502.00000000	     43.00200000	      0.06896384	      0.03962839	      0.07469451
   1503.00000000	     43.00400000	      0.06913621	      0.03959989	      0.07472818
   1504.00000000	     43.00600000	      0.06930944	      0.03957002	      0.07476345
   1505.00000000	     43.00800000	      0.06948386	      0.03953920	      0.07479985
   1506.00000000	     43.01000000	      0.06965989	      0.03950785	      0.07483689
   1507.00000000	     43.01200000	      0.06983800	      0.03947640	      0.07487403
   1508.00000000	     43.01400000	      0.07001850	      0.03944521	      0.07491088
   1509.00000000	     43.01600000	      0.07020176	      0.03941466	      0.07494698
   1510.00000000	     43.01800000	      0.07038806	      0.03938507	      0.07498193
   1511.00000000	     43.02000000	      0.07057764	      0.03935676	      0.07501538
   1512.00000000	     43.02200000	      0.07077067	      0.03932997	      0.07504703
   1513.00000000	     43.02400000	      0.07096722	      0.03930492	      0.07507662
   1514.00000000	     43.02600000	      0.07116730	      0.03928177	      0.07510398
   1515.00000000	     43.02800000	      0.07137088	      0.03926063	      0.07512895
   1516.00000000	     43.03000000	      0.07157783	      0.03924157	      0.07515148
   1517.00000000	     43.03200000	      0.07178793	      0.03922458	      0.07517155
   1518.00000000	     43.03400000	      0.07200085	      0.03920962	      0.07518923
   1519.00000000	     43.03600000	      0.07221626	      0.03919659	      0.07520463
   1520.00000000	     43.03800000	      0.07243359	      0.03918535	      0.07521791
   1521.00000000	     43.04000000	      0.07265240	      0.03917573	      0.07522928
   1522.00000000	     43.04200000	      0.07287209	      0.03916748	      0.07523902
   1523.00000000	     43.04400000	      0.07309199	      0.03916036	      0.07524744
   1524.00000000	     43.04600000	      0.07331145	      0.03915409	      0.07525484
   1525.00000000	     43.04800000	      0.07352985	      0.03914840	      0.07526158
   1526.00000000	     43.05000000	      0.07374645	      0.03914296	      0.07526800
   1527.00000000	     43.05200000	      0.07396062	      0.03913751	      0.07527445
   1528.00000000	     43.05400000	      0.07417169	      0.03913174	      0.07528126
   1529.00000000	     43.05600000	      0.07437900	      0.03912539	      0.07528877
   1530.00000000	     43.05800000	      0.07458206	      0.03911820	      0.07529727
   1531.00000000	     43.06000000	      0.07478034	      0.03910994	      0.07530703
   1532.00000000	     43.06200000	      0.07497314	      0.03910042	      0.07531828
   1533.00000000	     43.06400000	      0.07515985	      0.03908948	      0.07533120
   1534.00000000	     43.06600000	      0.07533995	      0.03907701	      0.07534594
   1535.00000000	     43.06800000	      0.07551305	      0.03906294	      0.07536258
   1536.00000000	     43.07000000	      0.07567868	      0.03904721	      0.07538117
   1537.00000000	     43.07200000	      0.07583659	      0.03902983	      0.07540171
   1538.00000000	     43.07400000	      0.07598669	      0.03901088	      0.07542411
   1539.00000000	     43.07600000	      0.07612884	      0.03899041	      0.07544830
   1540.00000000	     43.07800000	      0.07626305	      0.03896855	      0.07547414
   1541.00000000	     43.08000000	      0.07638929	      0.03894544	      0.07550146
   1542.00000000	     43.08200000	      0.07650760	      0.03892123	      0.07553007
   1543.00000000	     43.08400000	      0.07661812	      0.03889611	      0.07555977
   1544.00000000	     43.08600000	      0.07672094	      0.03887026	      0.07559034
   1545.00000000	     43.08800000	      0.07681623	      0.03884384	      0.07562157
   1546.00000000	     43.09000000	      0.07690407	      0.03881702	      0.07565328
   1547.00000000	     43.09200000	      0.07698458	      0.03878993	      0.07568531
   1548.00000000	     43.09400000	      0.07705783	      0.03876267	      0.07571754
   1549.00000000	     43.09600000	      0.07712387	      0.03873531	      0.07574990
   1550.00000000	     43.09800000	      0.07718263	      0.03870783	      0.07578239
   1551.00000000	     43.10000000	      0.07723407	      0.03868020	      0.07581506
   1552.00000000	     43.10200000	      0.07727797	      0.03865230	      0.07584806
   1553.00000000	     43.10400000	      0.07731410	      0.03862395	      0.07588159
   1554.00000000	     43.10600000	      0.07734213	      0.03859490	      0.07591596
   1555.00000000	     43.10800000	      0.07736163	      0.03856482	      0.07595153
   1556.00000000	     43.11000000	      0.07737213	      0.03853335	      0.07598876
   1557.00000000	     43.11200000	      0.07737307	      0.03850004	      0.07602817
   1558.00000000	     43.11400000	      0.07736384	      0.03846438	      0.07607034
   1559.00000000	     43.11600000	      0.07734378	      0.03842586	      0.07611593
   1560.00000000	     43.11800000	      0.07731221	      0.03838389	      0.07616558
   1561.00000000	     43.12000000	      0.07726842	      0.03833791	      0.07621998
   1562.00000000	     43.12200000	      0.07721171	      0.03828734	      0.07627983
   1563.00000000	     43.12400000	      0.07714144	      0.03823161	      0.07634580
   1564.00000000	     43.12600000	      0.07705698	      0.03817019	      0.07641850
   1565.00000000	     43.12800000	      0.07695776	      0.03810260	      0.07649852
   1566.00000000	     43.13000000	      0.07684340	      0.03802847	      0.07658629
   1567.00000000	     43.13200000	      0.07671363	      0.03794748	      0.07668220
   1568.00000000	     43.13400000	      0.07656832	      0.03785945	      0.07678647
   1569.00000000	     43.13600000	      0.07640756	      0.03776430	      0.07689920
   1570.00000000	     43.13800000	      0.07623160	      0.03766208	      0.07702033
   1571.00000000	     43.14000000	      0.07604096	      0.03755301	      0.07714962
   1572.00000000	     43.14200000	      0.07583631	      0.03743740	      0.07728670
   1573.00000000	     43.14400000	      0.07561855	      0.03731574	      0.07743100
