UNKNOWN
version=1
nRows=1928
nColumns=8
inDegrees=no
endheader
time	Coordinates(Deg.)	med_gas_l	med_gas_r	soleus_l	soleus_r	tib_ant_l	tib_ant_r
   1694.00000000	     16.94000000	      0.07762880	      0.09041768	      0.03834390	      0.05109096	      0.07621290	      0.06109262
   1695.00000000	     16.95000000	      0.07773528	      0.09046942	      0.03812918	      0.05130490	      0.07646705	      0.06083296
   1696.00000000	     16.96000000	      0.07770454	      0.09050272	      0.03793125	      0.05154354	      0.07670142	      0.06054299
   1697.00000000	     16.97000000	      0.07754004	      0.09051352	      0.03774153	      0.05180507	      0.07692617	      0.06022479
   1698.00000000	     16.98000000	      0.07724646	      0.09049194	      0.03755082	      0.05208110	      0.07715221	      0.05988846
   1699.00000000	     16.99000000	      0.07683194	      0.09042123	      0.03735151	      0.05235542	      0.07738857	      0.05955368
   1700.00000000	     17.00000000	      0.07630993	      0.09027761	      0.03713973	      0.05260360	      0.07763987	      0.05925034
   1701.00000000	     17.01000000	      0.07570037	      0.09003102	      0.03691691	      0.05279359	      0.07790443	      0.05901783
   1702.00000000	     17.02000000	      0.07502992	      0.08963292	      0.03669054	      0.05288741	      0.07817342	      0.05890292
   1703.00000000	     17.03000000	      0.07433199	      0.08906545	      0.03647371	      0.05284389	      0.07843127	      0.05895624
   1704.00000000	     17.04000000	      0.07364542	      0.08827952	      0.03628371	      0.05262227	      0.07865740	      0.05922751
   1705.00000000	     17.05000000	      0.07301066	      0.08724080	      0.03613973	      0.05218653	      0.07882887	      0.05975985
   1706.00000000	     17.06000000	      0.07246625	      0.08592423	      0.03606022	      0.05151018	      0.07892361	      0.06058355
   1707.00000000	     17.07000000	      0.07204516	      0.08431901	      0.03606028	      0.05058141	      0.07892353	      0.06170992
   1708.00000000	     17.08000000	      0.07177158	      0.08243351	      0.03614969	      0.04939633	      0.07881701	      0.06312595
   1709.00000000	     17.09000000	      0.07165874	      0.08029918	      0.03633155	      0.04799991	      0.07860045	      0.06479115
   1710.00000000	     17.10000000	      0.07170810	      0.07797259	      0.03660201	      0.04644605	      0.07827868	      0.06663757
   1711.00000000	     17.11000000	      0.07190990	      0.07553404	      0.03695071	      0.04481145	      0.07786429	      0.06857398
