UNKNOWN
version=1
nRows=6001
nColumns=4
inDegrees=no
endheader
time	Coordinates(Deg.)	MG	TA
    338.00000000	      6.76000000	      0.02699894	      0.02546879
    339.00000000	      6.78000000	      0.02688124	      0.02562072
    340.00000000	      6.80000000	      0.02678977	      0.02573800
    341.00000000	      6.82000000	      0.02672509	      0.02582072
    342.00000000	      6.84000000	      0.02668721	      0.02586914
    343.00000000	      6.86000000	      0.02667602	      0.02588344
    344.00000000	      6.88000000	      0.02669146	      0.02586371
    345.00000000	      6.90000000	      0.02673359	      0.02580985
    346.00000000	      6.92000000	      0.02680256	      0.02572164
    347.00000000	      6.94000000	      0.02689826	      0.02559884
    348.00000000	      6.96000000	      0.02702004	      0.02544140
    349.00000000	      6.98000000	      0.02716628	      0.02524964
    350.00000000	      7.00000000	      0.02733419	      0.02502405
    351.00000000	      7.02000000	      0.02751966	      0.02475951
    352.00000000	      7.04000000	      0.02771743	      0.02445575
    353.00000000	      7.06000000	      0.02792148	      0.02412304
    354.00000000	      7.08000000	      0.02812555	      0.02377156
    355.00000000	      7.10000000	      0.02832368	      0.02340929
    356.00000000	      7.12000000	      0.02851068	      0.02304531
    357.00000000	      7.14000000	      0.02868244	      0.02268934
    358.00000000	      7.16000000	      0.02883600	      0.02235132
    359.00000000	      7.18000000	      0.02896952	      0.02204084
    360.00000000	      7.20000000	      0.02908210	      0.02176667
    361.00000000	      7.22000000	      0.02917354	      0.02153622
    362.00000000	      7.24000000	      0.02924409	      0.02135489
    363.00000000	      7.26000000	      0.02929421	      0.02122554
    364.00000000	      7.28000000	      0.02932439	      0.02114826
    365.00000000	      7.30000000	      0.02933497	      0.02112139
    366.00000000	      7.32000000	      0.02932611	      0.02114387
    367.00000000	      7.34000000	      0.02929768	      0.02121662
    368.00000000	      7.36000000	      0.02924934	      0.02134133
    369.00000000	      7.38000000	      0.02918062	      0.02151813
    370.00000000	      7.40000000	      0.02909105	      0.02174442
    371.00000000	      7.42000000	      0.02898034	      0.02201499
    372.00000000	      7.44000000	      0.02884864	      0.02232260
    373.00000000	      7.46000000	      0.02869680	      0.02265856
    374.00000000	      7.48000000	      0.02852655	      0.02301334
    375.00000000	      7.50000000	      0.02834075	      0.02337701
    376.00000000	      7.52000000	      0.02814341	      0.02373981
    377.00000000	      7.54000000	      0.02793963	      0.02409259
    378.00000000	      7.56000000	      0.02773532	      0.02442724
    379.00000000	      7.58000000	      0.02753675	      0.02473416
    380.00000000	      7.60000000	      0.02734997	      0.02500228
