Filtered (MAV) muscles activityendheader

time	SOL_L	SOL_R	TA_L	TA_R	GL_L	GL_R
40.15200000	0.00004598	0.00005599	0.00013916	0.00008723	0.00003268	0.00006918
40.15250000	0.00004594	0.00005600	0.00013944	0.00008845	0.00003268	0.00006516
40.15300000	0.00004596	0.00005599	0.00013956	0.00009037	0.00003269	0.00006403
40.15350000	0.00004606	0.00005598	0.00013959	0.00009218	0.00003270	0.00006403
40.15400000	0.00004618	0.00005597	0.00013954	0.00009333	0.00003270	0.00006344
40.15450000	0.00004625	0.00005588	0.00013939	0.00009356	0.00003269	0.00006164
40.15500000	0.00004627	0.00005564	0.00013929	0.00009308	0.00003267	0.00005898
40.15550000	0.00004627	0.00005551	0.00013929	0.00009234	0.00003266	0.00005701
40.15600000	0.00004624	0.00005548	0.00013909	0.00009187	0.00003264	0.00005652
40.15650000	0.00004616	0.00005548	0.00013867	0.00009193	0.00003260	0.00005654
40.15700000	0.00004604	0.00005470	0.00013824	0.00009255	0.00003254	0.00005656
40.15750000	0.00004586	0.00005190	0.00013787	0.00009298	0.00003243	0.00005610
40.15800000	0.00004553	0.00004787	0.00013735	0.00009277	0.00003223	0.00005503
40.15850000	0.00004508	0.00004561	0.00013629	0.00009291	0.00003190	0.00005453
40.15900000	0.00004461	0.00004561	0.00013482	0.00009368	0.00003139	0.00005441
40.15950000	0.00004427	0.00004297	0.00013376	0.00009415	0.00003083	0.00005413
40.16000000	0.00004409	0.00003791	0.00013343	0.00009455	0.00003044	0.00005358
40.16050000	0.00004409	0.00003520	0.00013344	0.00009514	0.00003035	0.00005343
40.16100000	0.00004420	0.00003518	0.00013347	0.00009522	0.00003036	0.00005338
40.16150000	0.00004435	0.00003515	0.00013330	0.00009509	0.00003027	0.00005308
